checkin,inicio,fim,status,loja,tempo_espera,tempo_atendimento,status_final,atendido,abandonou
2025-10-01 10:57:35,2025-10-01 10:57:51,2025-10-01 11:07:17,concl,Loja Sul,0.26666666666666666,9.433333333333334,atendido,1,0
2025-10-01 12:09:32,2025-10-01 12:11:24,2025-10-01 12:31:25,concl,Loja Sul,1.8666666666666667,20.016666666666666,atendido,1,0
2025-10-15 13:07:55,2025-10-15 13:11:25,2025-10-15 13:14:53,concl,Loja Sul,3.5,3.466666666666667,atendido,1,0
2025-10-20 15:06:20,2025-10-20 15:20:22,2025-10-20 16:25:35,concl,Loja Sul,14.033333333333333,65.21666666666667,atendido,1,0
2025-10-15 16:03:17,2025-10-15 16:48:26,2025-10-15 16:50:19,concl,Loja Sul,45.15,1.8833333333333333,atendido,1,0
2025-10-13 16:41:58,2025-10-13 16:48:00,2025-10-13 17:26:52,concl,Loja Sul,6.033333333333333,38.86666666666667,atendido,1,0
2025-10-15 16:12:10,2025-10-15 16:50:25,2025-10-15 17:27:43,concl,Loja Sul,38.25,37.3,atendido,1,0
2025-10-31 15:01:59,2025-10-31 15:20:39,2025-10-31 15:48:24,concl,Loja Sul,18.666666666666668,27.75,atendido,1,0
2025-10-30 15:02:33,2025-10-30 15:06:12,2025-10-30 15:19:37,concl,Loja Sul,3.65,13.416666666666666,atendido,1,0
2025-10-08 10:32:59,2025-10-08 10:34:16,2025-10-08 10:41:55,concl,Loja Sul,1.2833333333333334,7.65,atendido,1,0
2025-10-15 21:00:23,2025-10-15 21:16:04,2025-10-15 22:07:58,concl,Loja Sul,15.683333333333334,51.9,atendido,1,0
2025-10-07 16:41:44,2025-10-07 16:45:45,2025-10-07 19:33:02,concl,Loja Sul,4.016666666666667,167.28333333333333,atendido,1,0
2025-10-02 21:19:36,2025-10-02 21:27:47,2025-10-02 21:28:05,concl,Loja Sul,8.183333333333334,0.3,atendido,1,0
2025-10-22 20:55:20,2025-10-22 20:55:42,2025-10-22 21:02:00,concl,Loja Sul,0.36666666666666664,6.3,atendido,1,0
2025-10-30 12:58:47,2025-10-30 13:00:44,2025-10-30 13:40:08,concl,Loja Sul,1.95,39.4,atendido,1,0
2025-10-29 21:12:13,2025-10-29 21:22:05,2025-10-29 21:26:31,concl,Loja Sul,9.866666666666667,4.433333333333334,atendido,1,0
2025-10-07 16:14:52,2025-10-07 16:15:19,2025-10-07 17:23:36,concl,Loja Sul,0.45,68.28333333333333,atendido,1,0
2025-10-21 15:39:02,2025-10-21 15:56:29,2025-10-21 16:25:13,concl,Loja Sul,17.45,28.733333333333334,atendido,1,0
2025-10-09 09:55:09,2025-10-09 10:05:44,2025-10-09 10:05:57,concl,Loja Oeste,10.583333333333334,0.21666666666666667,atendido,1,0
2025-10-22 14:49:12,2025-10-22 14:54:09,2025-10-22 16:58:16,concl,Loja Sul,4.95,124.11666666666666,atendido,1,0
2025-10-15 13:39:43,2025-10-15 14:04:34,2025-10-15 14:10:46,concl,Loja Oeste,24.85,6.2,atendido,1,0
2025-10-03 17:26:00,2025-10-03 17:26:39,2025-10-03 17:48:04,concl,Loja Sul,0.65,21.416666666666668,atendido,1,0
2025-10-22 14:50:09,2025-10-22 15:15:17,2025-10-22 15:36:31,concl,Loja Sul,25.133333333333333,21.233333333333334,atendido,1,0
2025-10-13 14:52:35,2025-10-13 14:57:23,2025-10-13 15:05:28,concl,Loja Sul,4.8,8.083333333333334,atendido,1,0
2025-10-13 18:38:35,2025-10-13 18:45:08,2025-10-13 19:28:35,concl,Loja Sul,6.55,43.45,atendido,1,0
2025-10-15 15:59:27,2025-10-15 16:32:09,2025-10-15 17:18:35,concl,Loja Sul,32.7,46.43333333333333,atendido,1,0
2025-10-02 10:14:07,2025-10-02 10:30:17,2025-10-02 11:07:51,concl,Loja Sul,16.166666666666668,37.56666666666667,atendido,1,0
2025-10-03 12:37:08,2025-10-03 12:42:51,2025-10-03 13:21:04,concl,Loja Sul,5.716666666666667,38.21666666666667,atendido,1,0
2025-10-29 17:26:56,2025-10-29 17:40:22,2025-10-29 18:10:47,concl,Loja Sul,13.433333333333334,30.416666666666668,atendido,1,0
2025-10-03 15:22:53,2025-10-03 15:27:09,2025-10-03 15:37:29,concl,Loja Sul,4.266666666666667,10.333333333333334,atendido,1,0
2025-10-17 17:30:39,2025-10-17 17:30:56,2025-10-17 17:40:24,concl,Loja Sul,0.2833333333333333,9.466666666666667,atendido,1,0
2025-10-10 19:56:16,2025-10-10 20:05:46,2025-10-10 22:09:58,concl,Loja Sul,9.5,124.2,atendido,1,0
2025-10-28 15:07:49,2025-10-28 15:20:13,2025-10-28 15:30:21,concl,Loja Sul,12.4,10.133333333333333,atendido,1,0
2025-10-24 19:59:34,2025-10-24 20:00:17,2025-10-24 20:36:50,concl,Loja Sul,0.7166666666666667,36.55,atendido,1,0
2025-10-15 18:08:41,2025-10-15 18:22:04,2025-10-15 18:27:24,concl,Loja Sul,13.383333333333333,5.333333333333333,atendido,1,0
2025-10-10 20:17:41,2025-10-10 20:43:05,2025-10-10 21:22:35,concl,Loja Sul,25.4,39.5,atendido,1,0
2025-10-23 11:39:48,2025-10-23 11:47:07,2025-10-23 12:00:40,concl,Loja Sul,7.316666666666666,13.55,atendido,1,0
2025-10-08 16:18:30,2025-10-08 16:23:36,2025-10-08 16:49:54,concl,Loja Sul,5.1,26.3,atendido,1,0
2025-10-10 20:11:40,2025-10-10 20:35:47,2025-10-10 21:03:36,concl,Loja Sul,24.116666666666667,27.816666666666666,atendido,1,0
2025-10-28 18:29:30,2025-10-28 18:34:15,2025-10-28 19:18:48,concl,Loja Sul,4.75,44.55,atendido,1,0
2025-10-11 14:18:13,2025-10-11 14:29:27,2025-10-11 16:43:47,concl,Loja Sul,11.233333333333333,134.33333333333334,atendido,1,0
2025-10-07 16:47:34,2025-10-07 17:13:07,2025-10-07 17:53:45,concl,Loja Sul,25.55,40.63333333333333,atendido,1,0
2025-10-24 20:01:12,2025-10-24 20:18:22,2025-10-24 21:01:36,concl,Loja Sul,17.166666666666668,43.233333333333334,atendido,1,0
2025-10-30 19:57:53,2025-10-30 20:03:05,2025-10-30 20:32:40,concl,Loja Sul,5.2,29.583333333333332,atendido,1,0
2025-10-14 15:06:00,2025-10-14 15:25:12,2025-10-14 15:40:16,concl,Loja Sul,19.2,15.066666666666666,atendido,1,0
2025-10-08 14:16:26,2025-10-08 14:43:35,2025-10-08 14:43:43,concl,Loja Sul,27.15,0.13333333333333333,atendido,1,0
2025-10-29 20:11:04,2025-10-29 20:45:55,2025-10-29 21:04:55,concl,Loja Sul,34.85,19.0,atendido,1,0
2025-10-08 18:45:22,2025-10-08 18:53:51,2025-10-08 19:05:12,concl,Loja Sul,8.483333333333333,11.35,atendido,1,0
